시도,주소,학교명,상태,위도,경도
충남,충청남도 아산시 둔포면 산전리산전길 19,관대초등학교,1,36.8983715,127.0369842
경기,경기도 군포시 산본1동1054번지,관모초등학교,1,37.37605346,126.9382193
경기,경기도 과천시 부림동48번지,관문초등학교,1,37.43387547,127.0013468
경남,경상남도 진주시 정촌면 정촌로 629관봉초등학교,관봉초등학교,1,35.13672537,128.1434776
전남,전라남도 장흥군 관산읍삼산리 97,관산남초등학교,1,34.5262629,126.9546765
전남,전라남도 장흥군 관산읍옥당리 405,관산초등학교,1,34.56110312,126.9401131
전남,전라남도 장흥군 관산읍 죽청리 418-3,관산초영성분교장,0,34.5808083,126.9675122
강원,강원도 원주시 치악로1355,관설초등학교,1,37.30869643,127.9762792
경기,경기도 포천시 관인면 탄동리664-1,관인초등학교,1,38.15665481,127.250432
충남,충청남도 보령시 주교면 한술1길 17충청남도 보령시 주교면 관창리 130-3,관창초등학교,1,36.38519434,126.5829361
전북,전북 임실군 관촌면 관촌리502,관촌초등학교,1,35.67653262,127.2716387
경북,경상북도 칠곡군 약목면 무림리730,관호초등학교,1,36.02046674,128.3810086
경기,경기도 수원시 영통구 이의동711번지,광교초등학교,1,37.3032108,127.0452982
경남,경상남도 통영시 광도면노산1길 16,광도초등학교,1,34.90063361,128.4060938
경남,경상남도 창원시 마산회원구 내서읍삼계1길 47,광려초등학교,1,35.22831564,128.5034348
제주,제주특별자치도 제주시 애월읍 광성로 276(애월읍.광령초등학교),광령초등학교,1,33.45982829,126.4368008
경기,경기도 남양주시 진접읍 팔야리762,광릉초등학교,1,37.74571785,127.2071914
광주,광주광역시 서구 하남대로710번길 19광림초등학교,광림초등학교,1,35.1693988,126.870713
경기,경기도 광명시 철산3동498번지,광명광덕초등학교,1,37.4733429,126.8657651
경기,경기도 광명시 철산로 59. 광명광성초등학교 (철산동),광명광성초등학교,1,37.47832433,126.8728697
경기,경기도 광명시 광명로 866-9. 광명남초등학교 (광명동. 광명남초등학교),광명남초등학교,1,37.47556327,126.8538544
경기,경기도 광명시 철산동78-4,광명동초등학교,1,37.48349978,126.8632414
경기,경기도 광명시 철산2동87번지,광명북초등학교,1,37.48670923,126.8680523
